,index
179,g53b.p_proscietechserv_gd_gc
180,g53b.p_proscietechserv_bd
181,g53b.p_proscietechserv_add_d
182,g53b.p_proscietechserv_cert
183,g53b.p_proscietechserv_id_ns
184,g53b.p_proscietechserv_tot
185,g53b.p_adminsupserv_pd
186,g53b.p_adminsupserv_gd_gc
187,g53b.p_adminsupserv_bd
188,g53b.p_adminsupserv_add_d
189,g53b.p_adminsupserv_cert
190,g53b.p_adminsupserv_id_ns
191,g53b.p_adminsupserv_tot
192,g53b.p_pubadmisafety_pd
193,g53b.p_pubadmisafety_gd_gc
194,g53b.p_pubadmisafety_bd
195,g53b.p_pubadmisafety_add_d
196,g53b.p_pubadmisafety_cert
197,g53b.p_pubadmisafety_id_ns
198,g53b.p_pubadmisafety_tot
199,g53b.p_eductrain_pd
200,g25.m_15_19_prvided_unpaid_assist
201,g25.m_15_19_no_unpad_asst_prvided
202,g25.m_15_19_unpaid_assist_ns
203,g25.m_15_19_tot
204,g25.m_20_24_prvided_unpaid_assist
205,g25.m_20_24_no_unpad_asst_prvided
206,g25.m_20_24_unpaid_assist_ns
207,g25.m_20_24_tot
208,g25.m_25_34_prvided_unpaid_assist
209,g25.m_25_34_no_unpad_asst_prvided
210,g25.m_25_34_unpaid_assist_ns
211,g25.m_25_34_tot
212,g25.m_35_44_prvided_unpaid_assist
213,g25.m_35_44_no_unpad_asst_prvided
214,g25.m_35_44_unpaid_assist_ns
215,g25.m_35_44_tot
216,g25.m_45_54_prvided_unpaid_assist
217,g25.m_45_54_no_unpad_asst_prvided
218,g25.m_45_54_unpaid_assist_ns
219,g25.m_45_54_tot
220,g25.m_55_64_prvided_unpaid_assist
221,g25.m_55_64_no_unpad_asst_prvided
222,g25.m_55_64_unpaid_assist_ns
223,g25.m_55_64_tot
224,g25.m_65_74_prvided_unpaid_assist
225,g25.m_65_74_no_unpad_asst_prvided
226,g25.m_65_74_unpaid_assist_ns
227,g25.m_65_74_tot
228,g25.m_75_84_prvided_unpaid_assist
229,g25.m_75_84_no_unpad_asst_prvided
230,g25.m_75_84_unpaid_assist_ns
231,g25.m_75_84_tot
232,g25.m_85_ov_prvided_unpaid_assist
233,g25.m_85_ov_no_unpad_asst_prvided
234,g25.m_85_ov_unpaid_assist_ns
235,g25.m_85_ov_tot
236,g25.m_tot_prvided_unpaid_assist
237,g25.m_tot_no_unpaid_asst_prvided
238,g25.m_tot_unpaid_assist_ns
239,g25.m_tot_tot
240,g25.f_15_19_prvided_unpaid_assist
241,g25.f_15_19_no_unpad_asst_prvided
242,g25.f_15_19_unpaid_assist_ns
243,g25.f_15_19_tot
244,g25.f_20_24_prvided_unpaid_assist
245,g25.f_20_24_no_unpad_asst_prvided
246,g25.f_20_24_unpaid_assist_ns
247,g25.f_20_24_tot
248,g25.f_25_34_prvided_unpaid_assist
249,g25.f_25_34_no_unpad_asst_prvided
250,g25.f_25_34_unpaid_assist_ns
251,g25.f_25_34_tot
252,g25.f_35_44_prvided_unpaid_assist
253,g25.f_35_44_no_unpad_asst_prvided
254,g25.f_35_44_unpaid_assist_ns
255,g25.f_35_44_tot
256,g25.f_45_54_prvided_unpaid_assist
257,g25.f_45_54_no_unpad_asst_prvided
258,g25.f_45_54_unpaid_assist_ns
259,g25.f_45_54_tot
260,g25.f_55_64_prvided_unpaid_assist
261,g25.f_55_64_no_unpad_asst_prvided
262,g25.f_55_64_unpaid_assist_ns
263,g25.f_55_64_tot
264,g25.f_65_74_prvided_unpaid_assist
265,g25.f_65_74_no_unpad_asst_prvided
266,g25.f_65_74_unpaid_assist_ns
267,g25.f_65_74_tot
268,g25.f_75_84_prvided_unpaid_assist
269,g25.f_75_84_no_unpad_asst_prvided
270,g25.f_75_84_unpaid_assist_ns
271,g25.f_75_84_tot
272,g25.f_85_ov_prvided_unpaid_assist
273,g25.f_85_ov_no_unpad_asst_prvided
274,g25.f_85_ov_unpaid_assist_ns
275,g25.f_85_ov_tot
276,g25.f_tot_prvided_unpaid_assist
277,g25.f_tot_no_unpaid_asst_prvided
278,g25.f_tot_unpaid_assist_ns
279,g25.f_tot_tot
280,g25.p_15_19_prvided_unpaid_assist
281,g25.p_15_19_no_unpad_asst_prvided
282,g25.p_15_19_unpaid_assist_ns
283,g25.p_15_19_tot
284,g25.p_20_24_prvided_unpaid_assist
285,g25.p_20_24_no_unpad_asst_prvided
286,g25.p_20_24_unpaid_assist_ns
287,g25.p_20_24_tot
288,g25.p_25_34_prvided_unpaid_assist
289,g25.p_25_34_no_unpad_asst_prvided
290,g25.p_25_34_unpaid_assist_ns
291,g25.p_25_34_tot
292,g25.p_35_44_prvided_unpaid_assist
293,g25.p_35_44_no_unpad_asst_prvided
294,g25.p_35_44_unpaid_assist_ns
295,g25.p_35_44_tot
296,g25.p_45_54_prvided_unpaid_assist
297,g25.p_45_54_no_unpad_asst_prvided
298,g25.p_45_54_unpaid_assist_ns
299,g25.p_45_54_tot
300,g25.p_55_64_prvided_unpaid_assist
301,g25.p_55_64_no_unpad_asst_prvided
302,g25.p_55_64_unpaid_assist_ns
303,g25.p_55_64_tot
304,g25.p_65_74_prvided_unpaid_assist
305,g25.p_65_74_no_unpad_asst_prvided
306,g25.p_65_74_unpaid_assist_ns
307,g25.p_65_74_tot
308,g25.p_75_84_prvided_unpaid_assist
309,g25.p_75_84_no_unpad_asst_prvided
310,g25.p_75_84_unpaid_assist_ns
311,g25.p_75_84_tot
312,g25.p_85_ov_prvided_unpaid_assist
313,g25.p_85_ov_no_unpad_asst_prvided
314,g25.p_85_ov_unpaid_assist_ns
315,g25.p_85_ov_tot
316,g25.p_tot_prvided_unpaid_assist
317,g25.p_tot_no_unpaid_asst_prvided
318,g25.p_tot_unpaid_assist_ns
319,g25.p_tot_tot
320,g54b.m_tot_15_19
321,g54b.m_tot_20_24
322,g54b.m_tot_25_34
323,g54b.m_tot_35_44
324,g54b.m_tot_45_54
325,g54b.m_tot_55_64
326,g54b.m_tot_65_74
327,g54b.m_tot_75_84
328,g54b.m_tot_85ov
329,g54b.m_tot_tot
330,g54b.f_ag_for_fshg_15_19
331,g54b.f_ag_for_fshg_20_24
332,g54b.f_ag_for_fshg_25_34
333,g54b.f_ag_for_fshg_35_44
334,g54b.f_ag_for_fshg_45_54
335,g54b.f_ag_for_fshg_55_64
336,g54b.f_ag_for_fshg_65_74
337,g54b.f_ag_for_fshg_75_84
338,g54b.f_ag_for_fshg_85ov
339,g54b.f_ag_for_fshg_tot
340,g54b.f_mining_15_19
341,g54b.f_mining_20_24
342,g54b.f_mining_25_34
343,g54b.f_mining_35_44
344,g54b.f_mining_45_54
345,g54b.f_mining_55_64
346,g54b.f_mining_65_74
347,g54b.f_mining_75_84
348,g54b.f_mining_85ov
349,g54b.f_mining_tot
350,g54b.f_manufact_15_19
351,g54b.f_manufact_20_24
352,g54b.f_manufact_25_34
353,g54b.f_manufact_35_44
354,g54b.f_manufact_45_54
355,g54b.f_manufact_55_64
356,g54b.f_manufact_65_74
357,g54b.f_manufact_75_84
358,g54b.f_manufact_85ov
359,g54b.f_manufact_tot
360,g54b.f_el_gas_wt_waste_15_19
361,g54b.f_el_gas_wt_waste_20_24
362,g54b.f_el_gas_wt_waste_25_34
363,g54b.f_el_gas_wt_waste_35_44
364,g54b.f_el_gas_wt_waste_45_54
365,g54b.f_el_gas_wt_waste_55_64
366,g54b.f_el_gas_wt_waste_65_74
367,g54b.f_el_gas_wt_waste_75_84
368,g54b.f_el_gas_wt_waste_85ov
369,g54b.f_el_gas_wt_waste_tot
370,g54b.f_constru_15_19
371,g54b.f_constru_20_24
372,g54b.f_constru_25_34
373,g54b.f_constru_35_44
374,g54b.f_constru_45_54
375,g54b.f_constru_55_64
376,g54b.f_constru_65_74
377,g54b.f_constru_75_84
378,g54b.f_constru_85ov
379,g54b.f_constru_tot
380,g54b.f_whlesaletde_15_19
