,index
4771,g52a.m_le_ns_lab
4772,g52a.m_le_ns_idns
4773,g52a.m_le_ns_tot
4774,g52a.m_tot_mng
4775,g52a.m_tot_pro
4776,g52a.m_tot_ttw
4777,g52a.m_tot_cps
4778,g52a.m_tot_ca
4779,g52a.m_tot_sal
4780,g52a.m_tot_mod
4781,g52a.m_tot_lab
4782,g52a.m_tot_idns
4783,g52a.m_tot_tot
4784,g52a.f_pode_pode_nfd_mng
4785,g52a.f_pode_pode_nfd_pro
4786,g52a.f_pode_pode_nfd_ttw
4787,g52a.f_pode_pode_nfd_cps
4788,g52a.f_pode_pode_nfd_ca
4789,g52a.f_pode_pode_nfd_sal
4790,g52a.f_pode_pode_nfd_mod
4791,g52a.f_pode_pode_nfd_lab
4792,g52a.f_pode_pode_nfd_idns
4793,g52a.f_pode_pode_nfd_tot
4794,g52a.f_pode_doctde_mng
4795,g52a.f_pode_doctde_pro
4796,g52a.f_pode_doctde_ttw
4797,g52a.f_pode_doctde_cps
4798,g52a.f_pode_doctde_ca
4799,g52a.f_pode_doctde_sal
4800,g52a.f_pode_doctde_mod
4801,g52a.f_pode_doctde_lab
4802,g52a.f_pode_doctde_idns
4803,g52a.f_pode_doctde_tot
4804,g52a.f_pode_masde_mng
4805,g52a.f_pode_masde_pro
4806,g52a.f_pode_masde_ttw
4807,g52a.f_pode_masde_cps
4808,g52a.f_pode_masde_ca
4809,g52a.f_pode_masde_sal
4810,g52a.f_pode_masde_mod
4811,g52a.f_pode_masde_lab
4812,g52a.f_pode_masde_idns
4813,g52a.f_pode_masde_tot
4814,g52a.f_grdigrcer_grdigrcernfd_mng
4815,g52a.f_grdigrcer_grdigrcernfd_pro
4816,g52a.f_grdigrcer_grdigrcernfd_ttw
4817,g52a.f_grdigrcer_grdigrcernfd_cps
4818,g52a.f_grdigrcer_grdigrcernfd_ca
4819,g52a.f_grdigrcer_grdigrcernfd_sal
4820,g52a.f_grdigrcer_grdigrcernfd_mod
4821,g52a.f_grdigrcer_grdigrcernfd_lab
4822,g52a.f_grdigrcer_grdigrcernfd_idns
4823,g52a.f_grdigrcer_grdigrcernfd_tot
4824,g47a.d_0_4_fpeft_mpeft
4825,g47a.d_0_4_fpeft_mpept
4826,g47a.d_0_4_fpeft_mpeaw
4827,g47a.d_0_4_fpeft_mpehns
4828,g47a.d_0_4_fpeft_mpet
4829,g47a.d_0_4_fpeft_mpulftw
4830,g47a.d_0_4_fpeft_mpulptw
4831,g47a.d_0_4_fpeft_mput
4832,g47a.d_0_4_fpeft_mptlf
4833,g47a.d_0_4_fpeft_mpnlf
4834,g47a.d_0_4_fpeft_mplfsns
4835,g47a.d_0_4_fpeft_t
4836,g47a.d_0_4_fpept_mpeft
4837,g47a.d_0_4_fpept_mpept
4838,g47a.d_0_4_fpept_mpeaw
4839,g47a.d_0_4_fpept_mpehns
4840,g47a.d_0_4_fpept_mpet
4841,g47a.d_0_4_fpept_mpulftw
4842,g47a.d_0_4_fpept_mpulptw
4843,g47a.d_0_4_fpept_mput
4844,g47a.d_0_4_fpept_mptlf
4845,g47a.d_0_4_fpept_mpnlf
4846,g47a.d_0_4_fpept_mplfsns
4847,g47a.d_0_4_fpept_t
4848,g47a.d_0_4_fpeaw_mpeft
4849,g47a.d_0_4_fpeaw_mpept
4850,g47a.d_0_4_fpeaw_mpeaw
4851,g47a.d_0_4_fpeaw_mpehns
4852,g47a.d_0_4_fpeaw_mpet
4853,g47a.d_0_4_fpeaw_mpulftw
4854,g47a.d_0_4_fpeaw_mpulptw
4855,g47a.d_0_4_fpeaw_mput
4856,g47a.d_0_4_fpeaw_mptlf
4857,g47a.d_0_4_fpeaw_mpnlf
4858,g47a.d_0_4_fpeaw_mplfsns
4859,g47a.d_0_4_fpeaw_t
4860,g47a.d_0_4_fphns_mpeft
4861,g47a.d_0_4_fphns_mpept
4862,g47a.d_0_4_fphns_mpeaw
4863,g47a.d_0_4_fphns_mpehns
4864,g47a.d_0_4_fphns_mpet
4865,g47a.d_0_4_fphns_mpulftw
4866,g47a.d_0_4_fphns_mpulptw
4867,g47a.d_0_4_fphns_mput
4868,g47a.d_0_4_fphns_mptlf
4869,g47a.d_0_4_fphns_mpnlf
4870,g47a.d_0_4_fphns_mplfsns
4871,g47a.d_0_4_fphns_t
4872,g47a.d_0_4_fpet_mpeft
4873,g47a.d_0_4_fpet_mpept
4874,g47a.d_0_4_fpet_mpeaw
4875,g47a.d_0_4_fpet_mpehns
4876,g47a.d_0_4_fpet_mpet
4877,g47a.d_0_4_fpet_mpulftw
4878,g47a.d_0_4_fpet_mpulptw
4879,g47a.d_0_4_fpet_mput
4880,g47a.d_0_4_fpet_mptlf
4881,g47a.d_0_4_fpet_mpnlf
4882,g47a.d_0_4_fpet_mplfsns
4883,g47a.d_0_4_fpet_t
4884,g47a.d_0_4_fpulftw_mpeft
4885,g47a.d_0_4_fpulftw_mpept
4886,g47a.d_0_4_fpulftw_mp_eaw
4887,g47a.d_0_4_fpulftw_mp_e_hw_ns
4888,g47a.d_0_4_fpulftw_mpet
4889,g47a.d_0_4_fpulftw_mpulftw
4890,g47a.d_0_4_fpulftw_mpulptw
4891,g47a.d_0_4_fpulftw_mput
4892,g47a.d_0_4_fpulftw_mptlf
4893,g47a.d_0_4_fpulftw_mpnlf
4894,g47a.d_0_4_fpulftw_mplfsns
4895,g47a.d_0_4_fpulftw_t
4896,g47a.d_0_4_fpulptw_mpeft
4897,g47a.d_0_4_fpulptw_mpept
4898,g47a.d_0_4_fpulptw_mpeaw
4899,g47a.d_0_4_fpulptw_mpem_hw_ns
4900,g47a.d_0_4_fpulptw_mpet
4901,g47a.d_0_4_fpulptw_mpulftw
4902,g47a.d_0_4_fpulptw_mpulptw
4903,g47a.d_0_4_fpulptw_mput
4904,g47a.d_0_4_fpulptw_mptlf
4905,g47a.d_0_4_fpulptw_mpnlf
4906,g47a.d_0_4_fpulptw_mplfsns
4907,g47a.d_0_4_fpulptw_t
4908,g47a.d_0_4_fput_mpeft
4909,g47a.d_0_4_fput_mpept
4910,g47a.d_0_4_fput_mpeaw
4911,g47a.d_0_4_fput_mp_e_hns
4912,g47a.d_0_4_fput_mpet
4913,g47a.d_0_4_fput_mpulftw
4914,g47a.d_0_4_fput_mpulptw
4915,g47a.d_0_4_fput_mput
4916,g47a.d_0_4_fput_mptlf
4917,g47a.d_0_4_fput_mpnlf
4918,g47a.d_0_4_fput_mplfsns
4919,g47a.d_0_4_fput_t
4920,g47a.d_0_4_fptlf_mpeft
4921,g47a.d_0_4_fptlf_mpept
4922,g47a.d_0_4_fptlf_mpeaw
4923,g47a.d_0_4_fptlf_mpehns
4924,g47a.d_0_4_fptlf_mpet
4925,g47a.d_0_4_fptlf_mpulftw
4926,g47a.d_0_4_fptlf_mpulptw
4927,g47a.d_0_4_fptlf_mput
4928,g47a.d_0_4_fptlf_mptlf
4929,g47a.d_0_4_fptlf_mpnlf
4930,g47a.d_0_4_fptlf_mplfsns
4931,g47a.d_0_4_fptlf_t
4932,g47a.d_0_4_fpnlf_mpeft
4933,g47a.d_0_4_fpnlf_mpept
4934,g47a.d_0_4_fpnlf_mpeaw
4935,g47a.d_0_4_fpnlf_mp_e_hns
4936,g47a.d_0_4_fpnlf_mpet
4937,g47a.d_0_4_fpnlf_mpuemplfftw
4938,g47a.d_0_4_fpnlf_mpuemplfptw
4939,g47a.d_0_4_fpnlf_mput
4940,g47a.d_0_4_fpnlf_mptlf
4941,g47a.d_0_4_fpnlf_mpnlf
4942,g47a.d_0_4_fpnlf_mplfsns
4943,g47a.d_0_4_fpnlf_t
4944,g47a.d_0_4_fplfsns_mpeft
4945,g47a.d_0_4_fplfsns_mpept
4946,g47a.d_0_4_fplfsns_mpeaw
4947,g47a.d_0_4_fplfsns_mp_e_hns
4948,g47a.d_0_4_fplfsns_mpet
4949,g47a.d_0_4_fplfsns_mpulftw
4950,g47a.d_0_4_fplfsns_mpulptw
4951,g47a.d_0_4_fplfsns_mput
4952,g47a.d_0_4_fplfsns_mptlf
4953,g47a.d_0_4_fplfsns_mpnlf
4954,g47a.d_0_4_fplfsns_mplfsns
4955,g47a.d_0_4_fplfsns_t
4956,g47a.d_0_4_fpt_mpeft
4957,g47a.d_0_4_fpt_mpept
4958,g47a.d_0_4_fpt_mpeaw
4959,g47a.d_0_4_fpt_mpehns
4960,g47a.d_0_4_fpt_mpet
4961,g47a.d_0_4_fpt_mpulftw
4962,g47a.d_0_4_fpt_mpulptw
4963,g47a.d_0_4_fpt_mput
4964,g47a.d_0_4_fpt_mptlf
4965,g47a.d_0_4_fpt_mpnlf
4966,g47a.d_0_4_fpt_mplfsns
4967,g47a.d_0_4_fpt_t
4968,g47a.d_5_9_fpeft_mpeft
4969,g47a.d_5_9_fpeft_mpept
4970,g47a.d_5_9_fpeft_mpeaw
4971,g47a.d_5_9_fpeft_mpehns
4972,g47a.d_5_9_fpeft_mpet
4973,g47a.d_5_9_fpeft_mpulftw
4974,g47a.d_5_9_fpeft_mpulptw
4975,g47a.d_5_9_fpeft_mput
4976,g47a.d_5_9_fpeft_mptlf
4977,g47a.d_5_9_fpeft_mpnlf
4978,g47a.d_5_9_fpeft_mplfsns
4979,g47a.d_5_9_fpeft_t
4980,g47a.d_5_9_fpept_mpeft
4981,g47a.d_5_9_fpept_mpept
4982,g47a.d_5_9_fpept_mpeaw
4983,g47a.d_5_9_fpept_mpehns
4984,g47a.d_5_9_fpept_mpet
4985,g47a.d_5_9_fpept_mpulftw
4986,g47a.d_5_9_fpept_mpulptw
4987,g47a.d_5_9_fpept_mput
4988,g47a.d_5_9_fpept_mptlf
4989,g47a.d_5_9_fpept_mpnlf
4990,g47a.d_5_9_fpept_mplfsns
4991,g47a.d_5_9_fpept_t
4992,g47a.d_5_9_fpeaw_mpeft
4993,g47a.d_5_9_fpeaw_mpept
4994,g47a.d_5_9_fpeaw_mpeaw
4995,g47a.d_5_9_fpeaw_mpehns
4996,g47a.d_5_9_fpeaw_mpet
4997,g47a.d_5_9_fpeaw_mpulftw
4998,g47a.d_5_9_fpeaw_mpulptw
4999,g47a.d_5_9_fpeaw_mput
5000,g47a.d_5_9_fpeaw_mptlf
5001,g47a.d_5_9_fpeaw_mpnlf
5002,g47a.d_5_9_fpeaw_mplfsns
5003,g47a.d_5_9_fpeaw_t
5004,g47a.d_5_9_fphns_mpeft
5005,g47a.d_5_9_fphns_mpept
5006,g47a.d_5_9_fphns_mpeaw
5007,g47a.d_5_9_fphns_mpehns
5008,g47a.d_5_9_fphns_mpet
5009,g47a.d_5_9_fphns_mpulftw
5010,g47a.d_5_9_fphns_mpulptw
5011,g47a.d_5_9_fphns_mput
5012,g47a.d_5_9_fphns_mptlf
5013,g47a.d_5_9_fphns_mpnlf
5014,g47a.d_5_9_fphns_mplfsns
5015,g47a.d_5_9_fphns_t
5016,g47a.d_5_9_fpet_mpeft
5017,g47a.d_5_9_fpet_mpept
5018,g47a.d_5_9_fpet_mpeaw
5019,g47a.d_5_9_fpet_mp_e_hns
5020,g47a.d_5_9_fpet_mpet
5021,g47a.d_5_9_fpet_mpulftw
5022,g47a.d_5_9_fpet_mpulptw
5023,g47a.d_5_9_fpet_mput
5024,g12a.c0_4f_eo_m_eo
5025,g12a.c0_4f_eo_m_o_evww
5026,g12a.c0_4f_eo_m_o_enwna
5027,g12a.c0_4f_eo_m_o_pens
5028,g12a.c0_4f_eo_m_o_e_t
5029,g12a.c0_4f_eo_m_lpens
5030,g12a.c0_4f_eo_m_t
5031,g12a.c0_4f_o_evww_m_eo
5032,g12a.c0_4f_o_evww_m_o_evww
5033,g12a.c0_4f_o_evww_m_o_enwna
5034,g12a.c0_4f_o_evww_m_o_pens
5035,g12a.c0_4f_o_evww_m_o_e_t
5036,g12a.c0_4f_o_evww_m_lpens
5037,g12a.c0_4f_o_evww_m_t
5038,g12a.c0_4f_o_enwna_m_eo
5039,g12a.c0_4f_o_enwna_m_o_evww
5040,g12a.c0_4f_o_enwna_m_o_enwna
5041,g12a.c0_4f_o_enwna_m_o_pens
5042,g12a.c0_4f_o_enwna_m_o_e_t
5043,g12a.c0_4f_o_enwna_m_lpens
5044,g12a.c0_4f_o_enwna_m_t
5045,g12a.c0_4f_o_pens_m_eo
5046,g12a.c0_4f_o_pens_m_o_evww
5047,g12a.c0_4f_o_pens_m_o_enwna
5048,g12a.c0_4f_o_pens_m_o_pens
5049,g12a.c0_4f_o_pens_m_o_e_t
5050,g12a.c0_4f_o_pens_m_lpens
5051,g12a.c0_4f_o_pens_m_t
5052,g12a.c0_4f_o_e_t_m_eo
5053,g12a.c0_4f_o_e_t_m_o_evww
5054,g12a.c0_4f_o_e_t_m_o_enwna
5055,g12a.c0_4f_o_e_t_m_o_pens
5056,g12a.c0_4f_o_e_t_m_o_e_t
5057,g12a.c0_4f_o_e_t_m_lpens
5058,g12a.c0_4f_o_e_t_m_t
5059,g12a.c0_4f_lpens_m_eo
5060,g12a.c0_4f_lpens_m_o_evww
5061,g12a.c0_4f_lpens_m_o_enwna
5062,g12a.c0_4f_lpens_m_o_pens
5063,g12a.c0_4f_lpens_m_o_e_t
5064,g12a.c0_4f_lpens_m_lpens
5065,g12a.c0_4f_lpens_m_t
5066,g12a.c0_4f_t_m_eo
5067,g12a.c0_4f_t_m_o_evww
5068,g12a.c0_4f_t_m_o_enwna
5069,g12a.c0_4f_t_m_o_pens
5070,g12a.c0_4f_t_m_o_e_t
5071,g12a.c0_4f_t_m_lpens
5072,g12a.c0_4f_t_m_t
5073,g12a.c5_9f_eo_m_eo
5074,g12a.c5_9f_eo_m_o_evww
5075,g12a.c5_9f_eo_m_o_enwna
5076,g12a.c5_9f_eo_m_o_pens
5077,g12a.c5_9f_eo_m_o_e_t
5078,g12a.c5_9f_eo_m_lpens
5079,g12a.c5_9f_eo_m_t
5080,g12a.c5_9f_o_evww_m_eo
5081,g12a.c5_9f_o_evww_m_o_evww
5082,g12a.c5_9f_o_evww_m_o_enwna
5083,g12a.c5_9f_o_evww_m_o_pens
5084,g12a.c5_9f_o_evww_m_o_e_t
5085,g12a.c5_9f_o_evww_m_lpens
5086,g12a.c5_9f_o_evww_m_t
5087,g12a.c5_9f_o_enwna_m_eo
5088,g12a.c5_9f_o_enwna_m_o_evww
5089,g12a.c5_9f_o_enwna_m_o_enwna
5090,g12a.c5_9f_o_enwna_m_o_pens
5091,g12a.c5_9f_o_enwna_m_o_e_t
5092,g12a.c5_9f_o_enwna_m_lpens
5093,g12a.c5_9f_o_enwna_m_t
5094,g12a.c5_9f_o_pens_m_eo
5095,g12a.c5_9f_o_pens_m_o_evww
5096,g12a.c5_9f_o_pens_m_o_enwna
5097,g12a.c5_9f_o_pens_m_o_pens
5098,g12a.c5_9f_o_pens_m_o_e_t
5099,g12a.c5_9f_o_pens_m_lpens
5100,g12a.c5_9f_o_pens_m_t
5101,g12a.c5_9f_o_e_t_m_eo
5102,g12a.c5_9f_o_e_t_m_o_evww
5103,g12a.c5_9f_o_e_t_m_o_enwna
5104,g12a.c5_9f_o_e_t_m_o_pens
5105,g12a.c5_9f_o_e_t_m_o_e_t
5106,g12a.c5_9f_o_e_t_m_lpens
5107,g12a.c5_9f_o_e_t_m_t
5108,g12a.c5_9f_lpens_m_eo
5109,g12a.c5_9f_lpens_m_o_evww
5110,g12a.c5_9f_lpens_m_o_enwna
5111,g12a.c5_9f_lpens_m_o_pens
5112,g12a.c5_9f_lpens_m_o_e_t
5113,g12a.c5_9f_lpens_m_lpens
5114,g12a.c5_9f_lpens_m_t
5115,g12a.c5_9f_t_m_eo
5116,g12a.c5_9f_t_m_o_evww
5117,g12a.c5_9f_t_m_o_enwna
5118,g12a.c5_9f_t_m_o_pens
5119,g12a.c5_9f_t_m_o_e_t
5120,g12a.c5_9f_t_m_lpens
5121,g12a.c5_9f_t_m_t
5122,g12a.c10_12f_eo_m_eo
5123,g12a.c10_12f_eo_m_o_evww
5124,g12a.c10_12f_eo_m_o_enwna
5125,g12a.c10_12f_eo_m_o_pens
5126,g12a.c10_12f_eo_m_o_e_t
5127,g12a.c10_12f_eo_m_lpens
5128,g12a.c10_12f_eo_m_t
5129,g12a.c10_12f_o_evww_m_eo
5130,g12a.c10_12f_o_evww_m_o_evww
5131,g12a.c10_12f_o_evww_m_o_enwna
5132,g12a.c10_12f_o_evww_m_o_pens
5133,g12a.c10_12f_o_evww_m_o_e_t
5134,g12a.c10_12f_o_evww_m_lpens
5135,g12a.c10_12f_o_evww_m_t
5136,g12a.c10_12f_o_enwna_m_eo
5137,g12a.c10_12f_o_enwna_m_o_evww
5138,g12a.c10_12f_o_enwna_m_o_enwna
5139,g12a.c10_12f_o_enwna_m_o_pens
5140,g12a.c10_12f_o_enwna_m_o_e_t
5141,g12a.c10_12f_o_enwna_m_lpens
5142,g12a.c10_12f_o_enwna_m_t
5143,g12a.c10_12f_o_pens_m_eo
5144,g12a.c10_12f_o_pens_m_o_evww
5145,g12a.c10_12f_o_pens_m_o_enwna
5146,g12a.c10_12f_o_pens_m_o_pens
5147,g12a.c10_12f_o_pens_m_o_e_t
5148,g12a.c10_12f_o_pens_m_lpens
5149,g12a.c10_12f_o_pens_m_t
5150,g12a.c10_12f_o_e_t_m_eo
5151,g12a.c10_12f_o_e_t_m_o_evww
5152,g12a.c10_12f_o_e_t_m_o_enwna
5153,g12a.c10_12f_o_e_t_m_o_pens
5154,g12a.c10_12f_o_e_t_m_o_e_t
5155,g12a.c10_12f_o_e_t_m_lpens
5156,g12a.c10_12f_o_e_t_m_t
5157,g12a.c10_12f_lpens_m_eo
5158,g12a.c10_12f_lpens_m_o_evww
5159,g12a.c10_12f_lpens_m_o_enwna
5160,g12a.c10_12f_lpens_m_o_pens
5161,g12a.c10_12f_lpens_m_o_e_t
5162,g12a.c10_12f_lpens_m_lpens
5163,g12a.c10_12f_lpens_m_t
5164,g12a.c10_12f_t_m_eo
5165,g12a.c10_12f_t_m_o_evww
5166,g12a.c10_12f_t_m_o_enwna
5167,g12a.c10_12f_t_m_o_pens
5168,g12a.c10_12f_t_m_o_e_t
5169,g12a.c10_12f_t_m_lpens
5170,g12a.c10_12f_t_m_t
5171,g12a.c13_14f_eo_m_eo
5172,g12a.c13_14f_eo_m_o_evww
5173,g12a.c13_14f_eo_m_o_enwna
5174,g12a.c13_14f_eo_m_o_pens
5175,g12a.c13_14f_eo_m_o_e_t
5176,g12a.c13_14f_eo_m_lpens
5177,g12a.c13_14f_eo_m_t
5178,g12a.c13_14f_o_evww_m_eo
5179,g12a.c13_14f_o_evww_m_o_evww
5180,g12a.c13_14f_o_evww_m_o_enwna
5181,g12a.c13_14f_o_evww_m_o_pens
5182,g12a.c13_14f_o_evww_m_o_e_t
5183,g12a.c13_14f_o_evww_m_lpens
5184,g12a.c13_14f_o_evww_m_t
5185,g12a.c13_14f_o_enwna_m_eo
5186,g12a.c13_14f_o_enwna_m_o_evww
5187,g12a.c13_14f_o_enwna_m_o_enwna
5188,g12a.c13_14f_o_enwna_m_o_pens
5189,g12a.c13_14f_o_enwna_m_o_e_t
5190,g12a.c13_14f_o_enwna_m_lpens
5191,g12a.c13_14f_o_enwna_m_t
5192,g12a.c13_14f_o_pens_m_eo
5193,g12a.c13_14f_o_pens_m_o_evww
5194,g12a.c13_14f_o_pens_m_o_enwna
5195,g12a.c13_14f_o_pens_m_o_pens
5196,g12a.c13_14f_o_pens_m_o_e_t
5197,g12a.c13_14f_o_pens_m_lpens
5198,g12a.c13_14f_o_pens_m_t
5199,g12a.c13_14f_o_e_t_m_eo
5200,g12a.c13_14f_o_e_t_m_o_evww
5201,g12a.c13_14f_o_e_t_m_o_enwna
5202,g12a.c13_14f_o_e_t_m_o_pens
5203,g12a.c13_14f_o_e_t_m_o_e_t
5204,g12a.c13_14f_o_e_t_m_lpens
5205,g12a.c13_14f_o_e_t_m_t
5206,g12a.c13_14f_lpens_m_eo
5207,g12a.c13_14f_lpens_m_o_evww
5208,g12a.c13_14f_lpens_m_o_enwna
5209,g12a.c13_14f_lpens_m_o_pens
5210,g12a.c13_14f_lpens_m_o_e_t
5211,g12a.c13_14f_lpens_m_lpens
5212,g12a.c13_14f_lpens_m_t
5213,g12a.c13_14f_tm_eo
5214,g12a.c13_14f_tm_o_evww
5215,g12a.c13_14f_tm_o_enwna
5216,g12a.c13_14f_tm_o_pens
5217,g12a.c13_14f_tm_o_e_t
5218,g12a.c13_14f_tm_lpens
5219,g12a.c13_14f_tm_t
5220,g12a.c15_17f_eo_m_eo
5221,g12a.c15_17f_eo_m_o_evww
5222,g12a.c15_17f_eo_m_o_enwna
5223,g12a.c15_17f_eo_m_o_pens
5224,g51c.p_foodhosppersserv_occ_mng
5225,g51c.p_foodhosppersserv_occ_pro
5226,g51c.p_foodhosppersserv_occ_ttw
5227,g51c.p_foodhosppersserv_occ_cps
5228,g51c.p_foodhosppersserv_occ_ca
5229,g51c.p_foodhosppersserv_occ_sal
5230,g51c.p_foodhosppersserv_occ_mod
5231,g51c.p_foodhosppersserv_occ_lab
5232,g51c.p_foodhosppersserv_occ_idns
5233,g51c.p_foodhosppersserv_total
5234,g51c.p_mixfieldprog_occ_mng
5235,g51c.p_mixfieldprog_occ_pro
5236,g51c.p_mixfieldprog_occ_ttw
5237,g51c.p_mixfieldprog_occ_cps
5238,g51c.p_mixfieldprog_occ_ca
5239,g51c.p_mixfieldprog_occ_sal
5240,g51c.p_mixfieldprog_occ_mod
5241,g51c.p_mixfieldprog_occ_lab
5242,g51c.p_mixfieldprog_occ_idns
5243,g51c.p_mixfieldprog_total
5244,g51c.p_fs_id_occ_mng
5245,g51c.p_fs_id_occ_pro
5246,g51c.p_fs_id_occ_ttw
5247,g51c.p_fs_id_occ_cps
5248,g51c.p_fs_id_occ_ca
5249,g51c.p_fs_id_occ_sal
5250,g51c.p_fs_id_occ_mod
5251,g51c.p_fs_id_occ_lab
5252,g51c.p_fs_id_occ_idns
5253,g51c.p_fs_id_total
5254,g51c.p_fs_ns_occ_mng
5255,g51c.p_fs_ns_occ_pro
5256,g51c.p_fs_ns_occ_ttw
5257,g51c.p_fs_ns_occ_cps
5258,g51c.p_fs_ns_occ_ca
5259,g51c.p_fs_ns_occ_sal
5260,g51c.p_fs_ns_occ_mod
5261,g51c.p_fs_ns_occ_lab
5262,g51c.p_fs_ns_occ_idns
5263,g51c.p_fs_ns_total
5264,g51c.p_tot_occ_mng
5265,g51c.p_tot_occ_pro
5266,g51c.p_tot_occ_ttw
5267,g51c.p_tot_occ_cps
5268,g51c.p_tot_occ_ca
5269,g51c.p_tot_occ_sal
5270,g51c.p_tot_occ_mod
5271,g51c.p_tot_occ_lab
5272,g51c.p_tot_occ_idns
5273,g51c.p_total_total
5274,g43.p_15_yrs_over_m
5275,g43.p_15_yrs_over_f
5276,g43.p_15_yrs_over_p
5277,g43.lfs_emplyed_wrked_full_time_m
5278,g43.lfs_emplyed_wrked_full_time_f
5279,g43.lfs_emplyed_wrked_full_time_p
5280,g43.lfs_emplyed_wrked_part_time_m
5281,g43.lfs_emplyed_wrked_part_time_f
5282,g43.lfs_emplyed_wrked_part_time_p
5283,g43.lfs_employed_away_from_work_m
5284,g43.lfs_employed_away_from_work_f
5285,g43.lfs_employed_away_from_work_p
5286,g43.lfs_unmplyed_lookng_for_wrk_m
5287,g43.lfs_unmplyed_lookng_for_wrk_f
5288,g43.lfs_unmplyed_lookng_for_wrk_p
5289,g43.lfs_tot_lf_m
5290,g43.lfs_tot_lf_f
5291,g43.lfs_tot_lf_p
5292,g43.lfs_n_the_labour_force_m
5293,g43.lfs_n_the_labour_force_f
5294,g43.lfs_n_the_labour_force_p
5295,g43.percent_unem_loyment_m
5296,g43.percent_unem_loyment_f
5297,g43.percent_unem_loyment_p
5298,g43.percnt_labforc_prticipation_m
5299,g43.percnt_labforc_prticipation_f
5300,g43.percnt_labforc_prticipation_p
5301,g43.percnt_employment_to_populn_m
5302,g43.percnt_employment_to_populn_f
5303,g43.percnt_employment_to_populn_p
5304,g43.non_sch_qual_postgrad_dgre_m
5305,g43.non_sch_qual_postgrad_dgre_f
5306,g43.non_sch_qual_postgrad_dgre_p
5307,g43.non_sch_qual_gr_dip_gr_crt_m
5308,g43.non_sch_qual_gr_dip_gr_crt_f
5309,g43.non_sch_qual_gr_dip_gr_crt_p
5310,g43.non_sch_qual_bchelr_degree_m
5311,g43.non_sch_qual_bchelr_degree_f
5312,g43.non_sch_qual_bchelr_degree_p
5313,g43.non_sch_qual_advnd_dip_dip_m
5314,g43.non_sch_qual_advnd_dip_dip_f
5315,g43.non_sch_qual_advnd_dip_dip_p
5316,g43.non_sch_qual_cert3a4_level_m
5317,g43.non_sch_qual_cert3a4_level_f
5318,g43.non_sch_qual_cert3a4_level_p
5319,g43.non_sch_qual_cert1a2_level_m
5320,g43.non_sch_qual_cert1a2_level_f
5321,g43.non_sch_qual_cert1a2_level_p
5322,g43.non_sch_qual_certnfd_level_m
5323,g43.non_sch_qual_certnfd_level_f
5324,g43.non_sch_qual_certnfd_level_p
5325,g43.non_sch_qual_certtot_level_m
5326,g43.non_sch_qual_certtot_level_f
5327,g43.non_sch_qual_certtot_level_p
5328,g43.migtn_lvd_same_add_1_yr_ago_m
5329,g43.migtn_lvd_same_add_1_yr_ago_f
5330,g43.migtn_lvd_same_add_1_yr_ago_p
5331,g43.migtn_lvd_diff_add_1_yr_ago_m
5332,g43.migtn_lvd_diff_add_1_yr_ago_f
5333,g43.migtn_lvd_diff_add_1_yr_ago_p
5334,g43.migtn_lvd_sme_add_5_yrs_ago_m
5335,g43.migtn_lvd_sme_add_5_yrs_ago_f
5336,g43.migtn_lvd_sme_add_5_yrs_ago_p
5337,g43.mign_lvd_diff_add_5_yrs_ago_m
5338,g43.mign_lvd_diff_add_5_yrs_ago_f
5339,g43.mign_lvd_diff_add_5_yrs_ago_p
5340,g55d.p_othserv_0
5341,g55d.p_othserv_1_19
5342,g55d.p_othserv_20_29
5343,g55d.p_othserv_30_34
5344,g55d.p_othserv_35_39
5345,g55d.p_othserv_40_44
5346,g55d.p_othserv_45_49
5347,g55d.p_othserv_50_over
5348,g55d.p_othserv_hours_ns
5349,g55d.p_othserv_tot
5350,g55d.p_id_ns_0
5351,g55d.p_id_ns_1_19
5352,g55d.p_id_ns_20_29
5353,g55d.p_id_ns_30_34
5354,g55d.p_id_ns_35_39
5355,g55d.p_id_ns_40_44
5356,g55d.p_id_ns_45_49
5357,g55d.p_id_ns_50_over
5358,g55d.p_id_ns_hours_ns
5359,g55d.p_id_ns_tot
5360,g55d.p_tot_0
5361,g55d.p_tot_1_19
5362,g55d.p_tot_20_29
5363,g55d.p_tot_30_34
5364,g55d.p_tot_35_39
5365,g55d.p_tot_40_44
5366,g55d.p_tot_45_49
5367,g55d.p_tot_50_over
5368,g55d.p_tot_hours_ns
5369,g55d.p_tot_tot
5370,g33.neg_nil_inc_fam_households
5371,g33.neg_nil_inc_non_fam_househlds
5372,g33.negative_nil_income_tot
5373,g33.hi_1_149_family_households
5374,g33.hi_1_149_non_family_hseholds
5375,g33.hi_1_149_tot
5376,g33.hi_150_299_family_households
5377,g33.hi_150_299_non_fam_househlds
5378,g33.hi_150_299_tot
5379,g33.hi_300_399_family_households
5380,g33.hi_300_399_non_fam_househlds
5381,g33.hi_300_399_tot
5382,g33.hi_400_499_family_households
5383,g33.hi_400_499_non_fam_househlds
5384,g33.hi_400_499_tot
5385,g33.hi_500_649_family_households
5386,g33.hi_500_649_non_fam_househlds
5387,g33.hi_500_649_tot
5388,g33.hi_650_799_family_households
5389,g33.hi_650_799_non_fam_househlds
5390,g33.hi_650_799_tot
5391,g33.hi_800_999_fam_households
5392,g33.hi_800_999_non_fam_hsehlds
5393,g33.hi_800_999_tot
